"","name","person","place"
"1","Aaron ",0.93859649122807,0.0614035087719298
"2","Abandanes ",0.661290322580645,0.338709677419355
"3","Abas ",0.71978021978022,0.28021978021978
"4","Abasgia ",0.17741935483871,0.82258064516129
"5","Abasgians ",0.40990990990991,0.59009009009009
"6","Abdela ",0.661290322580645,0.338709677419355
"7","Abdelas ",0.890835579514825,0.109164420485175
"8","Abderachman ",0.5,0.5
"9","Abimelech ",0.83175355450237,0.16824644549763
"10","Aboubacharos ",0.852112676056338,0.147887323943662
"11","Aboulabas ",0.5,0.5
"12","Aboulauar ",0.82258064516129,0.17741935483871
"13","Aboumouslim ",0.725225225225225,0.274774774774775
"14","Abraim ",0.598039215686274,0.401960784313726
"15","Abydos ",0.0695364238410596,0.93046357615894
"16","Achilleus ",0.338709677419355,0.661290322580645
"17","Acholios ",0.82258064516129,0.17741935483871
"18","Acropolis ",0.303921568627451,0.696078431372549
"19","Adad ",0.794117647058824,0.205882352941176
"20","Adam ",0.17741935483871,0.82258064516129
"21","Adana ",0.5,0.5
"22","Adraigan ",0.17741935483871,0.82258064516129
"23","Adramytion ",0.17741935483871,0.82258064516129
"24","Adramyton ",0.303921568627451,0.696078431372549
"25","Adrianople ",0.156488549618321,0.84351145038168
"26","Adrianoupolis ",0.661290322580645,0.338709677419355
"27","Adriatic ",0.17741935483871,0.82258064516129
"28","Aetios ",0.866492146596859,0.133507853403141
"29","Africa ",0.104810996563574,0.895189003436426
"30","African ",0.17741935483871,0.82258064516129
"31","Africans ",0.147887323943662,0.852112676056338
"32","Agallianos ",0.82258064516129,0.17741935483871
"33","Agathon ",0.661290322580645,0.338709677419355
"34","Ahab ",0.570422535211268,0.429577464788732
"35","Aitherios ",0.661290322580645,0.338709677419355
"36","Akakios ",0.808056872037915,0.191943127962085
"37","Akepsimas ",0.82258064516129,0.17741935483871
"38","Akroinos ",0.17741935483871,0.82258064516129
"39","Alamans ",0.205882352941176,0.794117647058824
"40","Alamoundaros ",0.401960784313726,0.598039215686274
"41","Alania ",0.82258064516129,0.17741935483871
"42","Alans ",0.338709677419355,0.661290322580645
"43","Alaric ",0.661290322580645,0.338709677419355
"44","Albania ",0.401960784313726,0.598039215686274
"45","Alexander ",0.763157894736842,0.236842105263158
"46","Alexandria ",0.17324290998767,0.82675709001233
"47","Alexandrians ",0.5,0.5
"48","Alexandrina ",0.5,0.5
"49","Alexios ",0.774725274725275,0.225274725274725
"50","Ali ",0.82258064516129,0.17741935483871
"51","Alidos ",0.82258064516129,0.17741935483871
"52","Alim ",0.5,0.5
"53","Alps ",0.338709677419355,0.661290322580645
"54","Alypios ",0.82258064516129,0.17741935483871
"55","Amalek ",0.82258064516129,0.17741935483871
"56","Amanites ",0.5,0.5
"57","Amantius ",0.401960784313726,0.598039215686274
"58","Amaseia ",0.303921568627451,0.696078431372549
"59","Amastris ",0.107843137254902,0.892156862745098
"60","Amatas ",0.401960784313726,0.598039215686274
"61","Ambros ",0.5,0.5
"62","Ambrose ",0.698675496688742,0.301324503311258
"63","Amer ",0.5,0.5
"64","Amida ",0.40990990990991,0.59009009009009
"65","Amitos ",0.661290322580645,0.338709677419355
"66","Ammadios ",0.338709677419355,0.661290322580645
"67","Amnesia ",0.17741935483871,0.82258064516129
"68","Amorion ",0.295321637426901,0.704678362573099
"69","Anaplous ",0.338709677419355,0.661290322580645
"70","Anargyroi ",0.338709677419355,0.661290322580645
"71","Anastasia ",0.205882352941176,0.794117647058824
"72","Anastasian ",0.17741935483871,0.82258064516129
"73","Anastasii ",0.205882352941176,0.794117647058824
"74","Anastasios ",0.791806958473625,0.208193041526375
"75","Anatalios ",0.82258064516129,0.17741935483871
"76","Anatolic ",0.205882352941176,0.794117647058824
"77","Anatolics ",0.0549738219895288,0.945026178010471
"78","Anatolios ",0.696078431372549,0.303921568627451
"79","Anazarbos ",0.661290322580645,0.338709677419355
"80","Anchialos ",0.335164835164835,0.664835164835165
"81","Ancyra ",0.17741935483871,0.82258064516129
"82","Andragathios ",0.661290322580645,0.338709677419355
"83","Andrew ",0.798013245033113,0.201986754966887
"84","Andronikos ",0.5,0.5
"85","Anepsich ",0.82258064516129,0.17741935483871
"86","Anna ",0.5,0.5
"87","Antai ",0.17741935483871,0.82258064516129
"88","Antalas ",0.16887417218543,0.83112582781457
"89","Anthemios ",0.5,0.5
"90","Antichrist ",0.205882352941176,0.794117647058824
"91","Antioch ",0.182539682539683,0.817460317460317
"92","Antiochenes ",0.107843137254902,0.892156862745098
"93","Antiochos ",0.5,0.5
"94","Antonioupolis ",0.17741935483871,0.82258064516129
"95","Antony ",0.598039215686274,0.401960784313726
"96","Apameia ",0.454954954954955,0.545045045045045
"97","Aphraates ",0.5,0.5
"98","Apolinarian ",0.17741935483871,0.82258064516129
"99","Apolinarios ",0.598039215686274,0.401960784313726
"100","Apollo ",0.17741935483871,0.82258064516129
"101","Apostate ",0.5,0.5
"102","Apostle ",0.17741935483871,0.82258064516129
"103","Apostles ",0.0774647887323944,0.922535211267606
"104","Apostropha ",0.82258064516129,0.17741935483871
"105","Apsech ",0.696078431372549,0.303921568627451
"106","Apsilia ",0.0774647887323944,0.922535211267606
"107","Apsilians ",0.338709677419355,0.661290322580645
"108","Apsimaros ",0.884615384615385,0.115384615384615
"109","Arab ",0.517182130584192,0.482817869415808
"110","Arabia ",0.338709677419355,0.661290322580645
"111","Arabic ",0.338709677419355,0.661290322580645
"112","Arabissos ",0.338709677419355,0.661290322580645
"113","Arabs ",0.173202614379085,0.826797385620915
"114","Arados ",0.107843137254902,0.892156862745098
"115","Aram ",0.338709677419355,0.661290322580645
"116","Araxes ",0.338709677419355,0.661290322580645
"117","Archaiopolis ",0.661290322580645,0.338709677419355
"118","Archangel ",0.147887323943662,0.852112676056338
"119","Archelaos ",0.82258064516129,0.17741935483871
"120","Ardabourios ",0.78169014084507,0.21830985915493
"121","Ardagastos ",0.205882352941176,0.794117647058824
"122","Areadne ",0.881679389312977,0.118320610687023
"123","Areobindos ",0.371382636655949,0.628617363344051
"124","Ares ",0.82258064516129,0.17741935483871
"125","Arethas ",0.711267605633803,0.288732394366197
"126","Argabastes ",0.82258064516129,0.17741935483871
"127","Arian ",0.59478672985782,0.40521327014218
